country,id,followers
Global,37i9dQZEVXbNG2KDcFcKOF,222204
Australia,37i9dQZEVXbK4fwx2r07XW,11468
Austria,37i9dQZEVXbM1EaZ0igDlz,1449
Argentina,37i9dQZEVXbKPTKrnFPD0G,10444
Belgium,37i9dQZEVXbND4ZYa46PaA,2309
Brazil,37i9dQZEVXbKzoK95AbRy9,49584
United Kingdom,37i9dQZEVXbMwmF30ppw50,22726
Hungary,37i9dQZEVXbMYsavqzfk6k,927
Vietnam,37i9dQZEVXbKZyn1mKjmIl,3844
Guatemala,37i9dQZEVXbJHSzlHx2ZJU,654
Germany,37i9dQZEVXbK8BKKMArIyl,25656
Hong Kong,37i9dQZEVXbMdvweCgpBAe,2409
Denmark,37i9dQZEVXbMw2iUtFR5Eq,1537
Dominican Republic,37i9dQZEVXbMPoK06pe7d6,1392
Egypt,37i9dQZEVXbMy2EcFg5F9m,1701
Israel,37i9dQZEVXbJ5J1TrbkAF9,1738
India,37i9dQZEVXbMWDif5SCBJq,8308
Indonesia,37i9dQZEVXbIZK8aUquyx8,6896
Ireland,37i9dQZEVXbJIvhIOxXxdp,2323
Spain,37i9dQZEVXbJwoKy8qKpHG,14456
Italy,37i9dQZEVXbJUPkgaWZcWG,10816
Canada,37i9dQZEVXbMda2apknTqH,5658
Colombia,37i9dQZEVXbL1Fl8vdBUba,4115
Malaysia,37i9dQZEVXbKcS4rq3mEhp,1679
Morocco,37i9dQZEVXbNM8vS9cIqAG,1466
Mexico,37i9dQZEVXbKUoIkUXteF6,13623
Netherlands,37i9dQZEVXbK4BFAukDzj3,7077
New Zealand,37i9dQZEVXbIWlLQoMVEFp,3846
Norway,37i9dQZEVXbLWYFZ5CkSvr,3679
UAE,37i9dQZEVXbIZQf3WEYSut,527
Panama,37i9dQZEVXbNSiWnkYnziz,746
Peru,37i9dQZEVXbMGcjiWgg253,1683
Poland,37i9dQZEVXbMZ5PAcNTDXd,4072
South Korea,37i9dQZEVXbJZGli0rRP3r,5827
Russia,37i9dQZEVXbNALwC1jxb5m,17803
Romania,37i9dQZEVXbMeCoUmQDLUW,804
Saudi Arabia,37i9dQZEVXbO839WGRmpu1,1351
Singapore,37i9dQZEVXbN66FupT0MuX,984
Slovakia,37i9dQZEVXbMwW10JmAnzE,356
USA,37i9dQZEVXbLp5XoPON0wI,47659
Thailand,37i9dQZEVXbJ7qiJCES5cj,2902
Taiwan,37i9dQZEVXbMVY2FDHm6NN,4815
Turkey,37i9dQZEVXbJARRcHjHcAr,13158
Ukraine,37i9dQZEVXbNcoJZ65xktI,2602
Philippines,37i9dQZEVXbJVKdmjH0pON,11661
Finland,37i9dQZEVXbJQ9kF73GOT2,1122
Czech Republic,37i9dQZEVXbLKI6MPixefZ,1064
Chile,37i9dQZEVXbLJ0paT1JkgZ,3777
Switzerland,37i9dQZEVXbKx6qX9uN66j,1635
Sweden,37i9dQZEVXbKVvfnL1Us06,7223
Ecuador,37i9dQZEVXbJPVQvqZqpcM,1253
South Africa,37i9dQZEVXbJV3H3OfCN1z,1765
Japan,37i9dQZEVXbKqiTGXuCOsB,21859
