,country,place,song_name,song_id,views
0,Global,1,good 4 u,4ZtFanR9U6ndgddUvNcjcG,84131760
1,Global,2,Butter,3VqeTFIvhxu3DIe4eZVzGq,58122349
2,Global,3,deja vu,6HU7h9RYOaPRFeh0R3UeAr,45060633
3,Global,4,MONTERO (Call Me By Your Name),67BtfxlNbhBmCDR2L2l8qd,38927630
4,Global,5,Kiss Me More (feat. SZA),748mdHapucXQri7IAO8yFK,36768939
5,Global,6,drivers license,5wANPM4fQCJwkGd4rN57mH,35848140
6,Global,7,traitor,5CZ40GBx1sQ9agT82CLQCT,32922131
7,Global,8,Peaches (feat. Daniel Caesar & Giveon),4iJyoBOLtHqaGxP12qzhQI,32353637
8,Global,9,brutal,6SRsiMl7w1USE4mFqrOhHC,30556582
9,Global,10,Levitating (feat. DaBaby),5nujrmhLynf4yMoMtj8AQF,28979432
10,Global,11,enough for you,2TOzTqQXNmR2zDJXihjZ2e,27845206
11,Global,12,happier,2tGvwE8GcFKwNdAXMnlbfl,27142760
12,Global,13,"1 step forward, 3 steps back",4wcBRRpIfesgcyUtis7PEg,24592939
13,Global,14,favorite crime,5JCoSi02qi3jJeHdZXMmR8,24070591
14,Global,15,Astronaut In The Ocean,3VT8hOC5vuDXBsHrR53WFh,23264862
15,Global,16,Leave The Door Open,7MAibcTli4IisCtbHKrGMh,22690097
16,Global,17,"jealousy, jealousy",0MMyJUC3WNnFS1lit5pTjk,22369988
17,Global,18,Fiel,7Bk0uXKk1uPT0XuQbpFzvs,21593593
18,Global,19,ZITTI E BUONI,776AftMmFFAWUIEAb3lHhw,21154636
19,Global,20,Pareja Del Año,2rCbl9naJYhaxjLsfx88uM,20460436
20,Global,21,RAPSTAR,43PGPuHIlVOc04jrZVh9L6,19854591
21,Global,22,hope ur ok,1zejeOnykpCoyVSit6Bwp3,19533407
22,Global,23,Dynamite,4saklk6nie3yiGePpBwUoc,19475201
23,Global,24,Build a Bitch,7BoobGhD4x5K96Me0hqC8Q,18356100
24,Global,25,Save Your Tears (with Ariana Grande) (Remix),37BZB0z9T8Xu7U3e65qxFy,18204986
25,Global,26,Am,2dNhNlpZAtV4lwAFW45LIv,17946106
26,Global,27,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,4cG7HUWYHBV6R6tHn1gxrl,17117733
27,Global,28,Todo De Ti,4fSIb4hdOQ151TILNsSEaF,16896242
28,Global,29,Blinding Lights,0VjIjW4GlUZAMYd2vXMi3b,16738448
29,Global,30,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]",6uvMKqNlrSvcC4NaKnrwjZ,16358920
30,Global,31,Heartbreak Anniversary,3FAJ6O0NOHQV8Mc5Ri6ENp,14659346
31,Global,32,DÁKITI,4MzXwWMhyBbmu6hOcLVD49,14609463
32,Global,33,telepatía,6tDDoYIxWvMLTdKpjFkc1B,14316943
33,Global,34,m y . l i f e (with 21 Savage & Morray),1D3z6HTiQsNmZxjl7F7eoG,14150394
34,Global,35,The Business,6f3Slt0GbA2bPZlz0aIFXN,14105193
35,Global,36,Your Power,5qNh5WtzMbfpSj2jLlBkoD,13838465
36,Global,37,Botella Tras Botella,2MnLkFqY9Rpg9s3Zv6ZJdK,13485730
37,Global,38,EL MAKINON,2FSGUA0gFgGeQdprjtGM2M,13374410
38,Global,39,p r i d e . i s . t h e . d e v i l (with Lil Baby),5W8jRrZ6tWrTrqnKRtIQBf,12700964
39,Global,40,Arcade,1J14CdDAvBTE1AJYUOwl6C,12677490
40,Global,41,Save Your Tears,5QO79kh1waicV47BqGRL3g,12554090
41,Global,42,2/Catorce,71R8HJxQk5qMiRstrlXN9t,12511061
